% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
113	1	1	1	0	28	2196	0	1	0
213	1	1	1	0	28	2196	0	1	0
313	1	1	1	0	28	2196	0	1	0
413	1	1	1	0	28	2196	0	1	0
513	1	1	1	0	28	2196	0	1	0
613	1	1	1	0	28	2196	0	1	0
713	1	1	1	0	28	2196	0	1	0
813	1	1	1	0	28	2196	0	1	0
913	1	1	1	0	28	2196	0	1	0
1013	1	1	1	0	28	2196	0	1	0
1113	1	1	1	0	28	2196	0	1	0
1213	1	1	1	0	28	2196	0	1	0
1313	1	1	1	0	28	2196	0	1	0
1413	1	1	1	0	28	2196	0	1	0
1513	1	1	1	0	28	2196	0	1	0
1613	1	1	1	0	28	2196	0	1	0
1713	1	1	1	0	28	2196	0	1	0
1813	1	1	1	0	28	2196	0	1	0
1913	1	1	1	0	28	2196	0	1	0
2013	1	1	1	0	28	2196	0	1	0
2113	1	1	1	0	28	2196	0	1	0
2213	1	1	1	0	28	2196	0	1	0
2313	1	1	1	0	28	2196	0	1	0
2413	1	1	1	0	28	2196	0	1	0
2513	1	1	1	0	28	2196	0	1	0
2613	1	1	1	0	28	2196	0	1	0
2713	1	1	1	0	28	2196	0	1	0
2813	1	1	1	0	28	2196	0	1	0
2913	1	1	1	0	28	2196	0	1	0
3013	1	1	1	0	28	2196	0	1	0
3113	1	1	1	0	28	2196	0	1	0
3213	1	1	1	0	28	2196	0	1	0
3313	1	1	1	0	28	2196	0	1	0
3413	1	1	1	0	28	2196	0	1	0
3513	1	1	1	0	28	2196	0	1	0
3613	1	1	1	0	28	2196	0	1	0
3713	1	1	1	0	28	2196	0	1	0
3813	1	1	1	0	28	2196	0	1	0
3913	1	1	1	0	28	2196	0	1	0
4013	1	1	1	0	28	2196	0	1	0
4113	1	1	1	0	28	2196	0	1	0
4213	1	1	1	0	28	2196	0	1	0
4313	1	1	1	0	28	2196	0	1	0
4413	1	1	1	0	28	2196	0	1	0
4513	1	1	1	0	28	2196	0	1	0
4613	1	1	1	0	28	2196	0	1	0
4713	1	1	1	0	28	2196	0	1	0
4813	1	1	1	0	28	2196	0	1	0
4913	1	1	1	0	28	2196	0	1	0
5013	1	1	1	0	28	2196	0	1	0
5113	1	1	1	0	28	2196	0	1	0
5213	1	1	1	0	28	2196	0	1	0
5313	1	1	1	0	28	2196	0	1	0
5413	1	1	1	0	28	2196	0	1	0
5513	1	1	1	0	28	2196	0	1	0
5613	1	1	1	0	28	2196	0	1	0
5713	1	1	1	0	28	2196	0	1	0
5813	1	1	1	0	28	2196	0	1	0
5913	1	1	1	0	28	2196	0	1	0
6013	1	1	1	0	28	2196	0	1	0
6113	1	1	1	0	28	2196	0	1	0
6213	1	1	1	0	28	2196	0	1	0
6313	1	1	1	0	28	2196	0	1	0
6413	1	1	1	0	28	2196	0	1	0
6513	1	1	1	0	28	2196	0	1	0
6613	1	1	1	0	28	2196	0	1	0
6713	1	1	1	0	28	2196	0	1	0
6813	1	1	1	0	28	2196	0	1	0
6913	1	1	1	0	28	2196	0	1	0
7013	1	1	1	0	28	2196	0	1	0
7113	1	1	1	0	28	2196	0	1	0
7213	1	1	1	0	28	2196	0	1	0
7313	1	1	1	0	28	2196	0	1	0
7413	1	1	1	0	28	2196	0	1	0
7513	1	1	1	0	28	2196	0	1	0
7613	1	1	1	0	28	2196	0	1	0
7713	1	1	1	0	28	2196	0	1	0
7813	1	1	1	0	28	2196	0	1	0
7913	1	1	1	0	28	2196	0	1	0
8013	1	1	1	0	28	2196	0	1	0
8113	1	1	1	0	28	2196	0	1	0
8213	1	1	1	0	28	2196	0	1	0
8313	1	1	1	0	28	2196	0	1	0
8413	1	1	1	0	28	2196	0	1	0
8513	1	1	1	0	28	2196	0	1	0
8613	1	1	1	0	28	2196	0	1	0
