% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.111	1	1	12	2	1	28	2196	0	0	0
0.211	1	1	22	2	1	28	2196	0	0	0
0.311	1	1	32	2	1	28	2196	0	0	0
0.411	1	1	42	2	1	28	2196	0	0	0
0.511	1	1	52	2	1	28	2196	0	0	0
0.611	1	1	62	2	1	28	2196	0	0	0
0.711	1	1	72	2	1	28	2196	0	0	0
0.811	1	1	82	2	1	28	2196	0	0	0
0.911	1	1	92	2	1	28	2196	0	0	0
1.011	1	1	102	2	1	28	2196	0	0	0
1.111	1	1	112	2	1	28	2196	0	0	0
1.211	1	1	122	2	1	28	2196	0	0	0
1.311	1	1	132	2	1	28	2196	0	0	0
1.411	1	1	142	2	1	28	2196	0	0	0
1.511	1	1	152	2	1	28	2196	0	0	0
1.611	1	1	162	2	1	28	2196	0	0	0
1.711	1	1	172	2	1	28	2196	0	0	0
1.811	1	1	182	2	1	28	2196	0	0	0
1.911	1	1	192	2	1	28	2196	0	0	0
2.011	1	1	202	2	1	28	2196	0	0	0
2.111	1	1	212	2	1	28	2196	0	0	0
2.211	1	1	222	2	1	28	2196	0	0	0
2.311	1	1	232	2	1	28	2196	0	0	0
2.411	1	1	242	2	1	28	2196	0	0	0
2.511	1	1	252	2	1	28	2196	0	0	0
2.611	1	1	262	2	1	28	2196	0	0	0
2.711	1	1	272	2	1	28	2196	0	0	0
2.811	1	1	282	2	1	28	2196	0	0	0
2.911	1	1	292	2	1	28	2196	0	0	0
3.011	1	1	302	2	1	28	2196	0	0	0
3.111	1	1	312	2	1	28	2196	0	0	0
3.211	1	1	322	2	1	28	2196	0	0	0
3.311	1	1	332	2	1	28	2196	0	0	0
3.411	1	1	342	2	1	28	2196	0	0	0
3.511	1	1	352	2	1	28	2196	0	0	0
3.611	1	1	362	2	1	28	2196	0	0	0
3.711	1	1	372	2	1	28	2196	0	0	0
3.811	1	1	382	2	1	28	2196	0	0	0
3.911	1	1	392	2	1	28	2196	0	0	0
4.011	1	1	402	2	1	28	2196	0	0	0
4.111	1	1	412	2	1	28	2196	0	0	0
4.211	1	1	422	2	1	28	2196	0	0	0
4.311	1	1	432	2	1	28	2196	0	0	0
4.411	1	1	442	2	1	28	2196	0	0	0
4.511	1	1	452	2	1	28	2196	0	0	0
4.611	1	1	462	2	1	28	2196	0	0	0
4.711	1	1	472	2	1	28	2196	0	0	0
4.811	1	1	482	2	1	28	2196	0	0	0
4.911	1	1	492	2	1	28	2196	0	0	0
5.011	1	1	502	2	1	28	2196	0	0	0
5.111	1	1	512	2	1	28	2196	0	0	0
5.211	1	1	522	2	1	28	2196	0	0	0
5.311	1	1	532	2	1	28	2196	0	0	0
5.411	1	1	542	2	1	28	2196	0	0	0
5.511	1	1	552	2	1	28	2196	0	0	0
5.611	1	1	562	2	1	28	2196	0	0	0
5.711	1	1	572	2	1	28	2196	0	0	0
5.811	1	1	582	2	1	28	2196	0	0	0
5.911	1	1	592	2	1	28	2196	0	0	0
6.011	1	1	602	2	1	28	2196	0	0	0
6.111	1	1	612	2	1	28	2196	0	0	0
6.211	1	1	622	2	1	28	2196	0	0	0
6.311	1	1	632	2	1	28	2196	0	0	0
6.411	1	1	642	2	1	28	2196	0	0	0
6.511	1	1	652	2	1	28	2196	0	0	0
6.611	1	1	662	2	1	28	2196	0	0	0
6.711	1	1	672	2	1	28	2196	0	0	0
6.811	1	1	682	2	1	28	2196	0	0	0
6.911	1	1	692	2	1	28	2196	0	0	0
7.011	1	1	702	2	1	28	2196	0	0	0
7.111	1	1	712	2	1	28	2196	0	0	0
7.211	1	1	722	2	1	28	2196	0	0	0
7.311	1	1	732	2	1	28	2196	0	0	0
7.411	1	1	742	2	1	28	2196	0	0	0
7.511	1	1	752	2	1	28	2196	0	0	0
7.611	1	1	762	2	1	28	2196	0	0	0
7.711	1	1	772	2	1	28	2196	0	0	0
7.811	1	1	782	2	1	28	2196	0	0	0
7.911	1	1	792	2	1	28	2196	0	0	0
8.011	1	1	802	2	1	28	2196	0	0	0
8.111	1	1	812	2	1	28	2196	0	0	0
8.211	1	1	822	2	1	28	2196	0	0	0
8.311	1	1	832	2	1	28	2196	0	0	0
8.411	1	1	842	2	1	28	2196	0	0	0
8.511	1	1	852	2	1	28	2196	0	0	0
8.611	1	1	862	2	1	28	2196	0	0	0
8.711	1	1	872	2	1	28	2196	0	0	0
8.811	1	1	882	2	1	28	2196	0	0	0
8.911	1	1	892	2	1	28	2196	0	0	0
9.011	1	1	902	2	1	28	2196	0	0	0
9.111	1	1	912	2	1	28	2196	0	0	0
9.211	1	1	922	2	1	28	2196	0	0	0
9.311	1	1	932	2	1	28	2196	0	0	0
9.411	1	1	942	2	1	28	2196	0	0	0
9.511	1	1	952	2	1	28	2196	0	0	0
9.611	1	1	962	2	1	28	2196	0	0	0
9.711	1	1	972	2	1	28	2196	0	0	0
9.811	1	1	982	2	1	28	2196	0	0	0
9.911	1	1	992	2	1	28	2196	0	0	0
