% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
515	1	1	1	0	0	28	2196	0	1	1	0
800	1	1	1	0	0	28	2196	0	1	1	0
1232	1	1	1	0	0	28	2196	0	1	1	0
1553	1	1	1	0	0	28	2196	0	1	1	0
1874	1	1	1	0	0	28	2196	0	1	1	0
2069	1	1	1	0	0	28	2196	0	1	1	0
2358	1	1	1	0	0	28	2196	0	1	1	0
2805	1	1	1	0	0	28	2196	0	1	1	0
3431	1	1	1	0	0	28	2196	0	1	1	0
3698	1	1	1	0	0	28	2196	0	1	1	0
3739	1	1	1	0	0	28	2196	0	1	1	0
4844	1	1	1	0	0	28	2196	0	1	1	0
5578	1	1	1	0	0	28	2196	0	1	1	0
5740	1	1	1	0	0	28	2196	0	1	1	0
6694	1	1	1	0	0	28	2196	0	1	1	0
7469	1	1	1	0	0	28	2196	0	1	1	0
7635	1	1	1	0	0	28	2196	0	1	1	0
8385	1	1	1	0	0	28	2196	0	1	1	0
8695	1	1	1	0	0	28	2196	0	1	1	0
9423	1	1	1	0	0	28	2196	0	1	1	0
9740	1	1	1	0	0	28	2196	0	1	1	0
